Mac1,Mac2,peso
200859,200779,2
206841,207112,2
219731,224009,2
171092,200598,2
201234,210996,2
203186,201546,2
200944,200915,2
203186,201230,2
203186,200718,2
203186,200597,2
203186,200582,2
210997,217365,2
219753,204167,2
210999,180693,2
202379,202378,2
137820,201275,2
209894,204755,2
200842,200631,2
203199,208775,2
203065,201279,2
202312,202307,2
203199,207791,2
200944,203345,2
200842,208351,2
218464,223960,2
202379,201539,2
207784,219768,2
219772,203375,2
203199,200898,2
171193,218335,2
200848,175812,2
200848,200631,2
225826,184825,2
209977,211240,2
225826,207452,2
203186,189764,2
200874,200597,2
225865,203033,2
215974,180693,2
219487,184251,2
200883,200582,2
203065,203199,2
137964,227995,2
200883,200631,2
203065,203345,2
210954,200631,2
200883,201349,2
137964,149413,2
170908,134787,2
215974,173388,2
202379,200580,2
209977,203418,2
225917,208351,2
203065,203753,2
200883,218526,2
219491,200631,2
225917,226131,2
206665,203734,2
137964,158348,2
214946,214934,2
206639,208351,2
203186,183360,2
200876,200792,2
200876,134787,2
200944,200597,2
200876,169904,2
202379,201167,2
137964,135386,2
203186,134787,2
209894,218954,2
216009,54225,2
200876,200618,2
170995,208313,2
170995,169904,2
203182,206076,2
170995,201546,2
203182,203250,2
170995,201434,2
215124,137759,2
200876,202866,2
209894,219304,2
203065,203067,2
200876,203734,2
200899,201076,2
219657,200792,2
203065,207175,2
201225,212837,2
200923,211314,2
201234,156,2
209947,213943,2
202333,169904,2
169766,203905,2
226083,217302,2
207767,208351,2
206755,201782,2
206755,203734,2
206762,208040,2
219612,219099,2
200923,203345,2
169766,203418,2
200923,200871,2
206762,207243,2
201233,205428,2
200921,190139,2
