Mac1,Mac2
169702,169701
169502,169688
169502,169703
169703,169688
143847,169704
169705,169706
169086,169707
169708,169707
169709,169707
169708,169086
169709,169086
169709,169708
169699,169710
169711,169201
169712,169713
3422,169249
169448,169714
169434,169715
169716,169434
169716,169715
169501,145796
169717,145796
169717,169501
169718,169719
169720,169721
169722,169723
169106,169724
169725,169726
169725,169727
169725,169728
169725,169729
169727,169726
169726,169728
169729,169726
169727,169728
169727,169729
169729,169728
169730,169731
169012,169731
169732,169731
169012,169730
169732,169730
169012,169732
169733,169734
169733,169717
169734,169717
169735,138040
169736,169448
169736,169737
169738,169736
169448,169737
169738,169448
169738,169737
169459,169302
169739,169459
169740,169459
169739,169302
169740,169302
169739,169740
169741,169724
169741,169106
169106,169724
169742,169743
169743,169530
169023,169743
169744,169743
169731,169743
169745,169743
169742,169530
169742,169023
169742,169744
169742,169731
169742,169745
169023,169530
169744,169530
169731,169530
169745,169530
169744,169023
169023,169731
169023,169745
169744,169731
169744,169745
169731,169745
169746,169728
169728,169747
169728,169748
169746,169747
169746,169748
169748,169747
169730,169749
169448,169724
169750,169530
169744,169750
169736,169750
169106,169750
169744,169530
169736,169530
169106,169530
169736,169744
169744,169106
169736,169106
169751,169752
169751,169753
169751,142454
169753,169752
169752,142454
169753,142454
169009,139636
137798,169009
169009,169037
169754,169009
169755,169009
137798,139636
169037,139636
169754,139636
169755,139636
137798,169037
137798,169754
137798,169755
169754,169037
169755,169037
169754,169755
169756,169757
169757,169758
169757,169759
169757,169760
169757,169718
169756,169758
169756,169759
169756,169760
169756,169718
169758,169759
169758,169760
169758,169718
169760,169759
169759,169718
169760,169718
169761,169762
169762,169474
169762,169763
169762,169764
169761,169474
169761,169763
169761,169764
169763,169474
169474,169764
169763,169764
169765,169749
169766,169749
169765,169766
169767,169768
169767,169647
169768,169647
169739,169769
169739,169770
169739,169012
169739,169771
169770,169769
169012,169769
169771,169769
169770,169012
169770,169771
169012,169771
169772,169745
169773,169774
169775,169774
169736,169774
169776,169774
169773,169775
169773,169736
169773,169776
169736,169775
169776,169775
169736,169776
133205,169777
169744,169777
169744,133205
169778,169718
169779,169778
169779,169718
166697,36141
169510,169780
169781,169510
169510,169782
169781,169780
169780,169782
169781,169782
169783,169784
169783,169785
169783,169786
169787,169783
169760,169783
169785,169784
169786,169784
169787,169784
169760,169784
169785,169786
169787,169785
169760,169785
169787,169786
169760,169786
169787,169760
169767,169788
169767,169047
169047,169788
169789,169749
169245,169749
169245,169789
169739,169302
169790,169791
169790,169500
169790,169529
169790,169776
169500,169791
169529,169791
169776,169791
169500,169529
169500,169776
169529,169776
169792,169793
169792,169009
169792,169794
169009,169793
169794,169793
169794,169009
169795,169779
169795,133865
169795,169796
169795,169797
169795,169798
169779,133865
169796,169779
169797,169779
169779,169798
169796,133865
169797,133865
169798,133865
169797,169796
169796,169798
169797,169798
166697,169476
169782,145796
169799,145796
169074,145796
169023,145796
145796,158502
169782,169799
169074,169782
169782,169023
169782,158502
169074,169799
169023,169799
169799,158502
169074,169023
169074,158502
169023,158502
169800,169012
169459,169801
169459,169802
169459,169803
169459,169804
169802,169801
169801,169803
169801,169804
169802,169803
169802,169804
169804,169803
169805,169308
169806,169308
169245,169308
169805,169806
169805,169245
169245,169806
169807,169302
169808,169807
169809,169807
169807,169810
169808,169302
169809,169302
169302,169810
169808,169809
169808,169810
169809,169810
169529,169769
169792,169811
169792,133865
169792,169797
169792,169718
133865,169811
169797,169811
169718,169811
169797,133865
169718,133865
169797,169718
135355,145796
135355,169812
169812,145796
169813,169814
169814,169815
169813,169815
169816,169817
169816,169798
169816,169574
169798,169817
169574,169817
169798,169574
169729,169075
169818,169819
