Mac1,Mac2,peso
169729,169300,2
178518,190539,2
178518,190742,2
147133,184479,2
147133,189992,2
191361,187377,2
179812,135094,2
126138,169012,2
169265,170993,2
184710,169836,2
192764,192192,2
170540,169302,2
173090,192334,2
169723,139666,2
178518,192165,2
173090,191167,2
169723,169810,2
169265,169144,2
173916,125047,2
181598,179029,2
181598,181901,2
178518,191485,2
182528,186386,2
172209,179387,2
177588,198132,2
180794,172715,2
169263,174516,2
173916,170993,2
173090,187918,2
193839,169729,2
173916,171286,2
169263,171738,2
181598,186221,2
173916,172666,2
186723,171286,2
169052,169729,2
191485,169729,2
125047,169023,2
185640,169980,2
186762,186794,2
191449,179429,2
125047,128170,2
170005,181462,2
170005,180886,2
178572,170529,2
169277,174268,2
170005,180473,2
185640,173444,2
170005,180465,2
178572,169061,2
185640,175290,2
170005,180268,2
171202,152729,2
175820,169075,2
125047,169891,2
170005,179665,2
170005,179660,2
170529,156,2
184757,180268,2
185640,178518,2
173142,169018,2
185640,178968,2
170005,179436,2
170005,179429,2
169277,171371,2
125047,172540,2
169277,171369,2
184757,169836,2
125047,156,2
169278,174647,2
170005,169836,2
192667,183400,2
169670,169581,2
184769,169961,2
182669,169061,2
170005,183510,2
179678,172191,2
180865,170993,2
189623,186386,2
189623,184462,2
185637,176476,2
185637,185627,2
181550,148054,2
169281,171269,2
184766,184933,2
170005,183036,2
169688,169256,2
179695,181017,2
148364,170993,2
169281,169459,2
177588,186032,2
178572,179235,2
169281,169144,2
185640,168997,2
177588,186386,2
180861,169061,2
195233,190139,2
188213,192558,2
185640,169037,2
195233,195214,2
177588,186723,2
173155,122363,2
188229,181462,2
170529,169103,2
170005,178573,2
125047,191657,2
125047,190112,2
175849,168997,2
169718,169849,2
179741,179235,2
191413,178468,2
169718,171168,2
169718,171286,2
125047,191307,2
184747,180244,2
186738,181271,2
186738,175252,2
169052,169023,2
189590,172028,2
170529,179235,2
169718,173126,2
170529,169249,2
170005,171161,2
186733,170562,2
197425,182663,2
125047,191840,2
177588,190112,2
177588,190139,2
169052,169103,2
169718,175970,2
125047,192165,2
175996,151489,2
169269,170096,2
169269,169434,2
178542,178539,2
171196,184769,2
169277,169012,2
186740,180244,2
170005,173090,2
169277,169086,2
171199,182962,2
170529,169836,2
171199,179066,2
185640,182875,2
186741,187093,2
125047,179080,2
170529,170334,2
169277,170077,2
169051,169072,2
169277,170069,2
171199,171161,2
185640,184906,2
125047,181544,2
170005,175586,2
169277,169995,2
170529,174014,2
169277,169960,2
186741,180340,2
177588,189523,2
170529,175236,2
192710,192734,2
186741,173521,2
169277,169302,2
169277,169278,2
125047,187177,2
186741,143452,2
169718,169659,2
125047,187795,2
185640,187173,2
178511,180995,2
169165,172666,2
172312,169034,2
169103,175302,2
170993,175302,2
169836,152203,2
176191,172666,2
170993,175942,2
191039,191072,2
180268,183050,2
170993,177001,2
174127,19936,2
184215,139666,2
169103,175996,2
184468,178468,2
176188,170096,2
174394,176838,2
172887,169023,2
169836,169012,2
170819,170818,2
170819,170820,2
170993,174671,2
169836,169255,2
169836,169256,2
169103,173244,2
178181,177350,2
169103,173220,2
169836,169440,2
188884,188889,2
172666,169826,2
169836,169533,2
169836,169714,2
169836,169718,2
180268,184175,2
170819,183007,2
169074,169086,2
169836,89444,2
142523,180216,2
184204,187795,2
170993,179034,2
193490,190139,2
169103,180542,2
170993,179387,2
177911,169075,2
169103,180599,2
190806,180787,2
184468,187177,2
169103,180735,2
180268,180905,2
176181,179190,2
184468,197170,2
190806,169729,2
180268,180802,2
169103,180343,2
