mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
84:55:A5:25:50:EC,21.0,0.0,0.0,28.5714285714,38.0952380952,14.2857142857,19.0476190476,0.25,45
0C:84:DC:92:C0:2D,21.0,0.0,0.0,0.0,14.2857142857,42.8571428571,42.8571428571,0.25,64
10:92:66:2E:0C:93,21.0,0.0,0.0,0.0,0.0,80.9523809524,19.0476190476,0.25,84
80:60:07:EE:1F:74,20.0,0.0,0.0,5.0,15.0,65.0,15.0,0.25,20
C4:07:2F:3A:0F:42,20.0,0.0,0.0,20.0,45.0,35.0,0.0,0.25,20
B0:C5:59:A1:49:DC,20.0,0.0,0.0,25.0,30.0,25.0,20.0,0.25,20
84:38:38:2E:75:DC,20.0,0.0,0.0,35.0,60.0,5.0,0.0,0.329365079365,21
04:4B:FF:07:37:18,20.0,0.0,0.0,10.0,30.0,35.0,25.0,0.25,35
0C:48:85:C0:55:98,20.0,0.0,0.0,0.0,55.0,45.0,0.0,0.25,72
14:8F:C6:47:D0:77,20.0,0.0,0.0,25.0,40.0,25.0,10.0,0.25,110
74:5C:9F:5A:34:BC,20.0,0.0,0.0,30.0,60.0,5.0,5.0,0.25,38
B4:30:52:41:7B:8A,20.0,0.0,0.0,5.0,5.0,60.0,30.0,0.25,38
64:A6:51:42:C5:2C,19.0,20.0,0.0,0.0,5.26315789474,26.3157894737,68.4210526316,0.25,42
38:F8:89:41:93:54,19.0,0.0,0.0,0.0,5.26315789474,57.8947368421,36.8421052632,0.333333333333,20
00:03:AA:E3:7E:99,19.0,0.0,0.0,15.7894736842,57.8947368421,21.0526315789,5.26315789474,0.25,36
E4:2D:02:BF:E3:4C,19.0,20.0,0.0,10.5263157895,52.6315789474,10.5263157895,26.3157894737,0.25,102
1C:B0:94:1B:83:17,19.0,0.0,0.0,5.26315789474,36.8421052632,36.8421052632,21.0526315789,0.25,44
BC:B3:08:84:E2:8E,19.0,0.0,0.0,5.26315789474,73.6842105263,15.7894736842,5.26315789474,0.25,25
14:89:FD:29:D7:CA,19.0,0.0,0.0,0.0,31.5789473684,42.1052631579,26.3157894737,0.25,19
D0:92:9E:BC:35:88,19.0,0.0,0.0,0.0,0.0,0.0,5.26315789474,0.25,71
94:01:C2:81:AD:8F,19.0,0.0,0.0,15.7894736842,31.5789473684,31.5789473684,21.0526315789,0.25,60
F0:72:8C:CF:A5:E6,18.0,0.0,0.0,50.0,33.3333333333,16.6666666667,0.0,0.25,18
64:B3:10:8A:1C:6E,18.0,0.0,0.0,0.0,44.4444444444,27.7777777778,27.7777777778,0.25,23
B8:76:3F:81:AC:A8,18.0,0.0,0.0,0.0,44.4444444444,50.0,5.55555555556,0.25,42
0C:E7:25:D5:64:64,18.0,100.0,0.0,11.1111111111,38.8888888889,33.3333333333,16.6666666667,0.5,84
F4:E3:FB:78:2A:E2,18.0,0.0,0.0,5.55555555556,33.3333333333,61.1111111111,0.0,0.25,23
00:27:13:FB:1C:BB,18.0,0.0,0.0,11.1111111111,38.8888888889,38.8888888889,11.1111111111,0.25,32
0C:48:85:B1:BD:78,18.0,0.0,0.0,16.6666666667,44.4444444444,33.3333333333,5.55555555556,0.25,34
08:EC:A9:64:F5:DA,18.0,0.0,0.0,0.0,83.3333333333,16.6666666667,0.0,0.25,49
B8:4F:D5:27:82:0F,18.0,0.0,0.0,61.1111111111,33.3333333333,5.55555555556,0.0,0.25,34
04:4B:FF:07:CD:A5,18.0,0.0,0.0,0.0,38.8888888889,38.8888888889,22.2222222222,0.25,24
14:B4:84:DB:5F:05,18.0,100.0,0.0,0.0,11.1111111111,16.6666666667,72.2222222222,0.25,31
B0:E0:3C:E3:51:D2,17.0,0.0,0.0,5.88235294118,35.2941176471,35.2941176471,23.5294117647,0.25,27
30:F3:1D:7A:EF:43,17.0,0.0,0.0,0.0,17.6470588235,41.1764705882,41.1764705882,0.275641025641,65
50:F0:D3:72:D7:06,17.0,0.0,0.0,11.7647058824,29.4117647059,35.2941176471,17.6470588235,0.25,25
