mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
20:6E:9C:52:53:BF,22.0,0.0,0.0,13.6363636364,72.7272727273,9.09090909091,4.54545454545,0.25,22
FC:A1:3E:2D:E0:98,21.0,0.0,23.8095238095,9.52380952381,0.0,0.0,28.5714285714,0.25,55
24:0A:11:73:7E:88,21.0,0.0,0.0,0.0,0.0,38.0952380952,38.0952380952,0.5,43
38:2D:D1:06:69:77,21.0,0.0,0.0,14.2857142857,33.3333333333,33.3333333333,19.0476190476,0.25,60
00:12:34:D4:BE:62,21.0,0.0,0.0,14.2857142857,23.8095238095,38.0952380952,23.8095238095,0.25,62
50:FC:9F:DE:DC:83,21.0,0.0,0.0,9.52380952381,23.8095238095,42.8571428571,23.8095238095,0.25,55
F0:25:B7:FE:F9:B8,21.0,0.0,0.0,33.3333333333,14.2857142857,9.52380952381,19.0476190476,0.270833333333,80
90:67:1C:4C:72:1B,20.0,0.0,0.0,0.0,40.0,20.0,40.0,0.25,47
78:31:C1:09:A3:62,20.0,50.0,0.0,10.0,35.0,35.0,20.0,0.401515151515,22
50:9F:27:07:A4:2D,20.0,0.0,0.0,50.0,15.0,20.0,5.0,0.25,61
B0:45:19:4A:D0:1A,20.0,0.0,0.0,10.0,30.0,20.0,25.0,0.25,54
10:3B:59:70:2A:15,20.0,0.0,0.0,30.0,30.0,30.0,10.0,0.25,20
14:32:D1:B2:7D:3B,19.0,66.6666666667,0.0,26.3157894737,36.8421052632,26.3157894737,10.5263157895,0.280864197531,54
00:08:22:54:3B:8D,19.0,0.0,0.0,5.26315789474,63.1578947368,10.5263157895,21.0526315789,0.25,19
9C:E6:E7:D1:CB:72,19.0,0.0,0.0,0.0,15.7894736842,36.8421052632,42.1052631579,0.25,19
10:A5:D0:31:08:3F,19.0,50.0,0.0,0.0,21.0526315789,52.6315789474,26.3157894737,0.25,36
9C:6C:15:BF:43:AC,19.0,0.0,0.0,21.0526315789,47.3684210526,31.5789473684,0.0,0.272522522523,74
08:EE:8B:65:55:9D,19.0,0.0,0.0,15.7894736842,36.8421052632,31.5789473684,15.7894736842,0.25,66
00:7A:05:00:5F:F1,19.0,100.0,0.0,21.0526315789,26.3157894737,42.1052631579,10.5263157895,0.25,45
C8:A8:23:C5:85:14,19.0,0.0,0.0,10.5263157895,42.1052631579,31.5789473684,15.7894736842,0.5,36
18:FE:34:31:DB:5E,19.0,0.0,0.0,10.5263157895,42.1052631579,31.5789473684,15.7894736842,0.25,19
F0:72:8C:BA:AF:1A,19.0,100.0,0.0,10.5263157895,42.1052631579,31.5789473684,15.7894736842,0.25,34
40:B0:FA:76:A2:AF,19.0,0.0,0.0,10.5263157895,10.5263157895,10.5263157895,52.6315789474,0.25,54
44:D4:E0:3E:3A:3A,19.0,0.0,0.0,15.7894736842,15.7894736842,42.1052631579,26.3157894737,0.25,75
F4:0B:93:F8:2F:99,19.0,100.0,0.0,36.8421052632,31.5789473684,15.7894736842,15.7894736842,0.25,81
A4:A4:D3:03:43:C1,19.0,0.0,0.0,36.8421052632,63.1578947368,0.0,0.0,0.25,19
3C:25:D7:BC:B0:A4,19.0,0.0,0.0,21.0526315789,10.5263157895,10.5263157895,15.7894736842,0.25,40
E0:DB:10:5C:DE:9B,18.0,0.0,0.0,5.55555555556,27.7777777778,44.4444444444,22.2222222222,0.25,33
7C:F9:0E:F6:83:85,18.0,0.0,0.0,0.0,11.1111111111,33.3333333333,55.5555555556,0.25,18
0C:B3:19:36:62:EB,18.0,0.0,0.0,0.0,27.7777777778,61.1111111111,11.1111111111,0.25,33
30:75:12:67:1F:60,18.0,0.0,0.0,33.3333333333,22.2222222222,22.2222222222,16.6666666667,0.25,46
A0:6C:EC:2B:56:29,18.0,0.0,0.0,16.6666666667,27.7777777778,33.3333333333,5.55555555556,0.388888888889,24
80:60:07:85:A6:73,18.0,0.0,0.0,27.7777777778,16.6666666667,22.2222222222,27.7777777778,0.25,31
80:6C:1B:9B:4A:47,18.0,0.0,0.0,11.1111111111,11.1111111111,16.6666666667,38.8888888889,0.5,37
D8:BB:2C:95:E7:CE,18.0,0.0,0.0,5.55555555556,38.8888888889,22.2222222222,33.3333333333,0.297619047619,35
A4:17:31:8D:3E:AF,18.0,0.0,0.0,33.3333333333,27.7777777778,16.6666666667,16.6666666667,0.5,36
38:0B:40:64:92:AE,18.0,0.0,0.0,11.1111111111,50.0,38.8888888889,0.0,0.5,82
A4:A4:D3:05:3A:1A,18.0,0.0,0.0,16.6666666667,11.1111111111,27.7777777778,44.4444444444,0.25,26
50:9F:27:07:8C:0F,18.0,0.0,33.3333333333,0.0,0.0,0.0,11.1111111111,0.25,18
30:A8:DB:19:0A:FC,18.0,80.0,0.0,0.0,22.2222222222,16.6666666667,61.1111111111,0.25,50
94:D7:71:CD:FF:CC,18.0,0.0,0.0,0.0,0.0,72.2222222222,27.7777777778,0.25,18
BC:3B:AF:BF:5F:97,18.0,0.0,0.0,5.55555555556,11.1111111111,27.7777777778,44.4444444444,0.319444444444,24
E8:50:8B:3F:49:CD,18.0,0.0,0.0,5.55555555556,61.1111111111,22.2222222222,11.1111111111,0.25,18
A8:06:00:85:46:06,18.0,0.0,0.0,5.55555555556,88.8888888889,5.55555555556,0.0,0.25,18
00:03:AA:E3:33:42,17.0,0.0,5.88235294118,35.2941176471,11.7647058824,11.7647058824,11.7647058824,0.25,54
